 Nome da IES, Sigla da IES, Categoria Administrativa, Área de Avaliação, Município do Curso, Sigla da UF, CPC (Faixa)
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Comunitária/Confessional,ARQUITETURA E URBANISMO,Belo Horizonte,MG,3
CENTRO UNIVERSITÁRIO ASSIS GURGACZ,FAG,Privada sem fins lucrativos,TECNOLOGIA EM GESTÃO AMBIENTAL,Cascavel,PR,SC
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",IFPI,Pública Federal,ZOOTECNIA,Paulistana,PI,4
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,Pública Federal,ENGENHARIA MECÂNICA,Araraquara,SP,3
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,Privada com fins lucrativos,ENGENHARIA CIVIL,Indaial,SC,3
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,Privada com fins lucrativos,ENGENHARIA MECÂNICA,Indaial,SC,3
UNIVERSIDADE ANHEMBI MORUMBI,UAM,Privada com fins lucrativos,TECNOLOGIA EM GESTÃO AMBIENTAL,São Paulo,SP,4
UNIVERSIDADE ANHEMBI MORUMBI,UAM,Privada com fins lucrativos,TECNOLOGIA EM GESTÃO HOSPITALAR,São Paulo,SP,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO",IFMA,Pública Federal,ZOOTECNIA,São Luís,MA,3
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Pública Federal,ENGENHARIA CIVIL,Balsas,MA,4
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE PERNAMBUCO",IFPE,Pública Federal,ENGENHARIA ELÉTRICA,Pesqueira,PE,4
FACULDADE MUNICIPAL PROFESSOR FRANCO MONTORO DE MOGI GUAÇU,FMPFM,Pública Municipal,ENFERMAGEM,Mogi Guaçu,SP,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",IFSC,Pública Federal,TECNOLOGIA EM GESTÃO AMBIENTAL,Garopaba,SC,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,Pública Federal,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Cubatão,SP,3
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Pública Federal,ENGENHARIA CIVIL,Januária,MG,4
